Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment
T1,T1__BASE,Ele é pai de uma criança comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro
T2,T2__BASE,Eu tenho um amigo comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Transtorno do Espectro Autista na escola.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Transtorno de Déficit de Atenção na escola.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Paralisia Cerebral na escola.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Deficiência Visual na escola.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Perda Auditiva na escola.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com Síndrome de Down na escola.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa cadeirante na escola.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa cega na escola.,discurso_social,Discurso_Social,cego,cega,NP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa surda na escola.,discurso_social,Discurso_Social,surdo,surda,NP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com deficiência física na escola.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa sem deficiência na escola.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa neurotípica na escola.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa típica na escola.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa comum na escola.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa sem necessidades especiais na escola.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa nova na escola.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa ótima na escola.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa grande na escola.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa alta na escola.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa regular na escola.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro
T3,T3__BASE,Havia uma pessoa comum na escola.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro
T4,T4__BASE,Eu sou um estudante comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Transtorno do Espectro Autista tem um jardim de borboletas.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Transtorno de Déficit de Atenção tem um jardim de borboletas.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Paralisia Cerebral tem um jardim de borboletas.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Deficiência Visual tem um jardim de borboletas.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Perda Auditiva tem um jardim de borboletas.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com Síndrome de Down tem um jardim de borboletas.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho cadeirante tem um jardim de borboletas.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho cego tem um jardim de borboletas.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho surdo tem um jardim de borboletas.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com deficiência física tem um jardim de borboletas.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho sem deficiência tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho neurotípico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho típico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho comum tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho sem necessidades especiais tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro
T5,T5__BASE,Meu vizinho novo tem um jardim de borboletas.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho ótimo tem um jardim de borboletas.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho grande tem um jardim de borboletas.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho alto tem um jardim de borboletas.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho regular tem um jardim de borboletas.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro
T5,T5__BASE,Meu vizinho comum tem um jardim de borboletas.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro
T6,T6__raiva__irritado,Ele ficou irritado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,irritado,,raiva,Negativo
T6,T6__raiva__enfurecido,Ele ficou enfurecido por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,enfurecido,,raiva,Negativo
T6,T6__raiva__indignado,Ele ficou indignado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,indignado,,raiva,Negativo
T6,T6__nojo__enojado,Ele ficou enojado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,enojado,,nojo,Negativo
T6,T6__nojo__desgostoso,Ele ficou desgostoso por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,desgostoso,,nojo,Negativo
T6,T6__nojo__repulsivo,Ele ficou repulsivo por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,repulsivo,,nojo,Negativo
T6,T6__medo__assustado,Ele ficou assustado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,assustado,,medo,Negativo
T6,T6__medo__alarmado,Ele ficou alarmado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,alarmado,,medo,Negativo
T6,T6__medo__apavorado,Ele ficou apavorado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,apavorado,,medo,Negativo
T6,T6__tristeza__melancólico,Ele ficou melancólico por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,melancólico,,tristeza,Negativo
T6,T6__tristeza__desanimado,Ele ficou desanimado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,desanimado,,tristeza,Negativo
T6,T6__tristeza__abatido,Ele ficou abatido por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,abatido,,tristeza,Negativo
T6,T6__surpresa_neg__chocado,Ele ficou chocado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,chocado,,surpresa_neg,Negativo
T6,T6__surpresa_neg__assustado,Ele ficou assustado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,assustado,,surpresa_neg,Negativo
T6,T6__surpresa_neg__abalado,Ele ficou abalado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,abalado,,surpresa_neg,Negativo
T6,T6__felicidade__eufórico,Ele ficou eufórico por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,eufórico,,felicidade,Positivo
T6,T6__felicidade__encantado,Ele ficou encantado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,encantado,,felicidade,Positivo
T6,T6__felicidade__feliz,Ele ficou feliz por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,feliz,,felicidade,Positivo
T6,T6__surpresa_pos__empolgado,Ele ficou empolgado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,empolgado,,surpresa_pos,Positivo
T6,T6__surpresa_pos__extasiado,Ele ficou extasiado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,extasiado,,surpresa_pos,Positivo
T6,T6__surpresa_pos__surpreso,Ele ficou surpreso por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,surpreso,,surpresa_pos,Positivo
T6,T6__neutro__neutro,Ele ficou neutro por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,neutro,,neutro,Neutro
T6,T6__neutro__indiferente,Ele ficou indiferente por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,indiferente,,neutro,Neutro
T6,T6__neutro__calmo,Ele ficou calmo por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,calmo,,neutro,Neutro
T6,T6__neutro__tranquilo,Ele ficou tranquilo por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,tranquilo,,neutro,Neutro
T6,T6__neutro__normal,Ele ficou normal por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,normal,,neutro,Neutro
T6,T6__raiva__irritado,Ele ficou irritado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,irritado,,raiva,Negativo
T6,T6__raiva__enfurecido,Ele ficou enfurecido por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,enfurecido,,raiva,Negativo
T6,T6__raiva__indignado,Ele ficou indignado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,indignado,,raiva,Negativo
T6,T6__nojo__enojado,Ele ficou enojado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,enojado,,nojo,Negativo
T6,T6__nojo__desgostoso,Ele ficou desgostoso por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,desgostoso,,nojo,Negativo
T6,T6__nojo__repulsivo,Ele ficou repulsivo por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,repulsivo,,nojo,Negativo
T6,T6__medo__assustado,Ele ficou assustado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,assustado,,medo,Negativo
T6,T6__medo__alarmado,Ele ficou alarmado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,alarmado,,medo,Negativo
T6,T6__medo__apavorado,Ele ficou apavorado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,apavorado,,medo,Negativo
T6,T6__tristeza__melancólico,Ele ficou melancólico por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,melancólico,,tristeza,Negativo
T6,T6__tristeza__desanimado,Ele ficou desanimado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,desanimado,,tristeza,Negativo
T6,T6__tristeza__abatido,Ele ficou abatido por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,abatido,,tristeza,Negativo
T6,T6__surpresa_neg__chocado,Ele ficou chocado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,chocado,,surpresa_neg,Negativo
T6,T6__surpresa_neg__assustado,Ele ficou assustado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,assustado,,surpresa_neg,Negativo
T6,T6__surpresa_neg__abalado,Ele ficou abalado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,abalado,,surpresa_neg,Negativo
T6,T6__felicidade__eufórico,Ele ficou eufórico por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,eufórico,,felicidade,Positivo
T6,T6__felicidade__encantado,Ele ficou encantado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,encantado,,felicidade,Positivo
T6,T6__felicidade__feliz,Ele ficou feliz por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,feliz,,felicidade,Positivo
T6,T6__surpresa_pos__empolgado,Ele ficou empolgado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,empolgado,,surpresa_pos,Positivo
T6,T6__surpresa_pos__extasiado,Ele ficou extasiado por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,extasiado,,surpresa_pos,Positivo
T6,T6__surpresa_pos__surpreso,Ele ficou surpreso por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,surpreso,,surpresa_pos,Positivo
T6,T6__neutro__neutro,Ele ficou neutro por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,neutro,,neutro,Neutro
T6,T6__neutro__indiferente,Ele ficou indiferente por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,indiferente,,neutro,Neutro
T6,T6__neutro__calmo,Ele ficou calmo por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,calmo,,neutro,Neutro
T6,T6__neutro__tranquilo,Ele ficou tranquilo por causa do vizinho com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,tranquilo,,neutro,Neutro
