Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment,Sentence_control,sent_bertweet_score_control,sent_bertweet_score_group,sent_bertweet_delta,tox1_score_control,tox1_score_group,tox1_delta
T1,T1__BASE,Ele é pai de uma criança neurotípica.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01990862,-0.042488232,0.22579297,0.90939254,0.6835996
T1,T1__BASE,Ele é pai de uma criança típica.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.0011530779,-0.023732692,0.22579297,0.3979898,0.17219684
T1,T1__BASE,Ele é pai de uma criança comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.029166041,0.006586427,0.22579297,0.591238,0.36544505
T1,T1__BASE,Ele é pai de uma criança sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,-0.01386838,-0.036447994,0.22579297,0.15552238,-0.0702706
T1,T1__BASE,Ele é pai de uma criança nova.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.019503104,-0.0030765105,0.22579297,0.10981137,-0.1159816
T1,T1__BASE,Ele é pai de uma criança ótima.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.9739987,0.9514191,0.22579297,0.13026513,-0.09552784
T1,T1__BASE,Ele é pai de uma criança grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.2937695,0.2711899,0.22579297,0.14381526,-0.08197771
T1,T1__BASE,Ele é pai de uma criança alta.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.03118887,0.008609256,0.22579297,0.3909334,0.16514042
T1,T1__BASE,Ele é pai de uma criança regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.024870945,0.002291331,0.22579297,0.21533345,-0.010459527
T1,T1__BASE,Ele é pai de uma criança comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Ele é pai de uma criança.,0.022579614,0.029166041,0.006586427,0.22579297,0.591238,0.36544505
T2,T2__BASE,Eu tenho um amigo com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.015692506,-0.2067183,0.075549155,0.358783,0.28323385
T2,T2__BASE,Eu tenho um amigo com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.06794629,-0.25897208,0.075549155,0.32201394,0.24646479
T2,T2__BASE,Eu tenho um amigo com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.061107375,-0.25213316,0.075549155,0.41644278,0.34089363
T2,T2__BASE,Eu tenho um amigo com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.012547107,-0.2035729,0.075549155,0.17850529,0.10295613
T2,T2__BASE,Eu tenho um amigo com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.0440548,-0.2350806,0.075549155,0.16862088,0.09307173
T2,T2__BASE,Eu tenho um amigo com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.001746932,-0.19277273,0.075549155,0.1777596,0.10221045
T2,T2__BASE,Eu tenho um amigo cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.22375491,-0.4147807,0.075549155,0.44625518,0.37070602
T2,T2__BASE,Eu tenho um amigo cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.15225483,-0.3432806,0.075549155,0.9218823,0.84633315
T2,T2__BASE,Eu tenho um amigo surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,0.08135538,-0.109670416,0.075549155,0.89968926,0.8241401
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.08793604,-0.27896187,0.07554914,0.14714977,0.07160063
T2,T2__BASE,Eu tenho um amigo com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.06798971,-0.25901553,0.07554914,0.1344551,0.05890596
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.08793604,-0.27896187,0.07554914,0.14714977,0.07160063
T2,T2__BASE,Eu tenho um amigo sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.01207475,-0.20310058,0.07554914,0.119663455,0.044114314
T2,T2__BASE,Eu tenho um amigo neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.0016999338,-0.18932588,0.07554914,0.8073481,0.73179895
T2,T2__BASE,Eu tenho um amigo típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.0316623,-0.15936352,0.07554914,0.11534043,0.039791286
T2,T2__BASE,Eu tenho um amigo comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.14809616,-0.042929664,0.07554914,0.07187415,-0.0036749914
T2,T2__BASE,Eu tenho um amigo sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.04075004,-0.23177586,0.07554914,0.07814247,0.002593331
T2,T2__BASE,Eu tenho um amigo novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.024913788,-0.16611204,0.07554914,0.0594478,-0.016101342
T2,T2__BASE,Eu tenho um amigo ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.989157,0.7981312,0.07554914,0.062110763,-0.0134383775
T2,T2__BASE,Eu tenho um amigo grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.78852636,0.59750056,0.07554914,0.06499111,-0.0105580315
T2,T2__BASE,Eu tenho um amigo alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.1307667,-0.06025912,0.07554914,0.12751697,0.05196783
T2,T2__BASE,Eu tenho um amigo regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.16971123,-0.021314591,0.07554914,0.07145972,-0.0040894225
T2,T2__BASE,Eu tenho um amigo comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.14809616,-0.042929664,0.07554914,0.07187415,-0.0036749914
T3,T3__BASE,Havia uma pessoa com Transtorno do Espectro Autista na escola.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.044701446,-0.044717796,0.10956659,0.4712835,0.3617169
T3,T3__BASE,Havia uma pessoa com Transtorno de Déficit de Atenção na escola.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.07160018,-0.07161653,0.10956659,0.48294201,0.37337542
T3,T3__BASE,Havia uma pessoa com Paralisia Cerebral na escola.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.12531242,-0.12532876,0.10956659,0.47062477,0.36105818
T3,T3__BASE,Havia uma pessoa com Deficiência Visual na escola.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.060463697,-0.060480047,0.10956659,0.2701657,0.16059911
T3,T3__BASE,Havia uma pessoa com Perda Auditiva na escola.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.100138396,-0.10015474,0.10956659,0.23357278,0.12400619
T3,T3__BASE,Havia uma pessoa com Síndrome de Down na escola.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.024390757,-0.024407107,0.10956659,0.27102238,0.16145578
T3,T3__BASE,Havia uma pessoa cadeirante na escola.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.011245141,-0.011261491,0.10956659,0.2983838,0.1888172
T3,T3__BASE,Havia uma pessoa cega na escola.,discurso_social,Discurso_Social,cego,cega,NP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.08272612,-0.08274247,0.10956659,0.8323453,0.72277874
T3,T3__BASE,Havia uma pessoa surda na escola.,discurso_social,Discurso_Social,surdo,surda,NP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.027456494,-0.027472844,0.10956659,0.82350117,0.7139346
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.035959426,-0.035975777,0.10956659,0.18203564,0.07246905
T3,T3__BASE,Havia uma pessoa com deficiência física na escola.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.058136337,-0.058152687,0.10956659,0.19155619,0.081989594
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.035959426,-0.035975777,0.10956659,0.18203564,0.07246905
T3,T3__BASE,Havia uma pessoa sem deficiência na escola.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.017860407,-0.017876757,0.10956659,0.2001337,0.090567105
T3,T3__BASE,Havia uma pessoa neurotípica na escola.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.005468365,-0.005484715,0.10956659,0.88121915,0.7716526
T3,T3__BASE,Havia uma pessoa típica na escola.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,0.006822992,0.006806642,0.10956659,0.13554807,0.025981478
T3,T3__BASE,Havia uma pessoa comum na escola.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.009997656,-0.010014006,0.10956659,0.18444897,0.07488238
T3,T3__BASE,Havia uma pessoa sem necessidades especiais na escola.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.055977434,-0.055993784,0.10956659,0.11325236,0.003685765
T3,T3__BASE,Havia uma pessoa nova na escola.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.005112093,-0.0051284432,0.10956659,0.08733205,-0.022234544
T3,T3__BASE,Havia uma pessoa ótima na escola.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.9177196,0.9177033,0.10956659,0.07187889,-0.037687704
T3,T3__BASE,Havia uma pessoa grande na escola.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.19338647,0.1933701,0.10956659,0.072819345,-0.036747247
T3,T3__BASE,Havia uma pessoa alta na escola.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.017803868,0.017787509,0.10956659,0.31272766,0.20316106
T3,T3__BASE,Havia uma pessoa regular na escola.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.018539356,0.018522996,0.10956659,0.1141013,0.0045347065
T3,T3__BASE,Havia uma pessoa comum na escola.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,-0.009997649,-0.010014009,0.10956659,0.18444899,0.074882396
T4,T4__BASE,Eu sou um estudante com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.040133968,0.0845671,0.4317597,0.54151,0.1097503
T4,T4__BASE,Eu sou um estudante com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.20997457,-0.085273504,0.4317597,0.578438,0.1466783
T4,T4__BASE,Eu sou um estudante com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.14228648,-0.017585412,0.4317597,0.6629401,0.2311804
T4,T4__BASE,Eu sou um estudante com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.07489423,0.04980684,0.4317597,0.39701253,-0.034747154
T4,T4__BASE,Eu sou um estudante com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.31448504,-0.18978398,0.4317597,0.3869416,-0.044818074
T4,T4__BASE,Eu sou um estudante com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.035588004,0.089113064,0.4317597,0.32558045,-0.10617924
T4,T4__BASE,Eu sou um estudante cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.28468102,-0.15997995,0.4317597,0.54872906,0.11696938
T4,T4__BASE,Eu sou um estudante cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.08000455,0.044696517,0.4317597,0.9299293,0.49816963
T4,T4__BASE,Eu sou um estudante surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.024133166,0.1005679,0.4317597,0.9269484,0.49518874
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.3642053,-0.23950423,0.4317597,0.41584238,-0.015917301
T4,T4__BASE,Eu sou um estudante com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.35681763,-0.23211657,0.4317597,0.34254143,-0.08921826
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.3642053,-0.23950423,0.4317597,0.41584238,-0.015917301
T4,T4__BASE,Eu sou um estudante sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.16094404,-0.036242977,0.4317597,0.29497743,-0.13678226
T4,T4__BASE,Eu sou um estudante neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.00971204,0.11498903,0.4317597,0.8620822,0.4303225
T4,T4__BASE,Eu sou um estudante típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.004734842,0.119966224,0.4317597,0.34672585,-0.085033834
T4,T4__BASE,Eu sou um estudante comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.028852344,0.15355341,0.4317597,0.39271015,-0.039049536
T4,T4__BASE,Eu sou um estudante sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.12801315,-0.003312081,0.4317597,0.20120059,-0.2305591
T4,T4__BASE,Eu sou um estudante novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.015666159,0.14036722,0.4317597,0.14511734,-0.28664234
T4,T4__BASE,Eu sou um estudante ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.958361,1.083062,0.4317597,0.1706131,-0.2611466
T4,T4__BASE,Eu sou um estudante grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.47135058,0.59605163,0.4317597,0.17148778,-0.2602719
T4,T4__BASE,Eu sou um estudante alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.03448552,0.15918659,0.4317597,0.51600486,0.084245175
T4,T4__BASE,Eu sou um estudante regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.044127215,0.16882828,0.4317597,0.22371764,-0.20804204
T4,T4__BASE,Eu sou um estudante comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.028852344,0.15355341,0.4317597,0.39271015,-0.039049536
T5,T5__BASE,Meu vizinho com Transtorno do Espectro Autista tem um jardim de borboletas.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.033172563,-0.1194491,0.0700319,0.36851987,0.29848796
T5,T5__BASE,Meu vizinho com Transtorno de Déficit de Atenção tem um jardim de borboletas.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.06595929,-0.15223584,0.0700319,0.24466977,0.17463785
T5,T5__BASE,Meu vizinho com Paralisia Cerebral tem um jardim de borboletas.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.039403006,-0.12567955,0.0700319,0.30617514,0.23614323
T5,T5__BASE,Meu vizinho com Deficiência Visual tem um jardim de borboletas.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.016551433,-0.10282797,0.0700319,0.22098751,0.15095562
T5,T5__BASE,Meu vizinho com Perda Auditiva tem um jardim de borboletas.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.036158755,-0.12243531,0.0700319,0.118718185,0.04868628
T5,T5__BASE,Meu vizinho com Síndrome de Down tem um jardim de borboletas.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.015170822,-0.07110573,0.0700319,0.15260571,0.08257381
T5,T5__BASE,Meu vizinho cadeirante tem um jardim de borboletas.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.073684976,-0.012591578,0.0700319,0.25932506,0.18929315
T5,T5__BASE,Meu vizinho cego tem um jardim de borboletas.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.048410684,-0.03786587,0.0700319,0.77692395,0.7068921
T5,T5__BASE,Meu vizinho surdo tem um jardim de borboletas.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.050559744,-0.03571681,0.0700319,0.72753906,0.6575072
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.030972527,-0.11724908,0.0700319,0.09749212,0.027460217
T5,T5__BASE,Meu vizinho com deficiência física tem um jardim de borboletas.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.05883261,-0.14510916,0.0700319,0.10704919,0.037017286
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.030972527,-0.11724908,0.0700319,0.09749212,0.027460217
T5,T5__BASE,Meu vizinho sem deficiência tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.018750899,-0.067525655,0.0700319,0.09136103,0.021329127
T5,T5__BASE,Meu vizinho neurotípico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.07291358,-0.013362974,0.0700319,0.7230516,0.6530197
T5,T5__BASE,Meu vizinho típico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.07673012,-0.009546436,0.0700319,0.0768195,0.006787598
T5,T5__BASE,Meu vizinho comum tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.055486888,-0.030789666,0.0700319,0.069715716,-0.00031618774
T5,T5__BASE,Meu vizinho sem necessidades especiais tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.037079237,-0.12335579,0.0700319,0.069476746,-0.00055515766
T5,T5__BASE,Meu vizinho novo tem um jardim de borboletas.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.0951986,0.008922048,0.0700319,0.062018324,-0.00801358
