Template,pair_id,Sentence,emocao_categoria,Sentiment,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,group_lexical
T6,T6__neutro__tranquilo,Ele ficou tranquilo por causa do vizinho.,neutro,Neutro,Controle_PSA,SEM_COND,,,tranquilo,,
T6,T6__neutro__normal,Ele ficou normal por causa do vizinho.,neutro,Neutro,Controle_PSA,SEM_COND,,,normal,,
T7,T7__raiva__irritado,Meu amigo me fez sentir irritado.,raiva,Negativo,Controle_PSA,SEM_COND,,,irritado,,
T7,T7__raiva__enfurecido,Meu amigo me fez sentir enfurecido.,raiva,Negativo,Controle_PSA,SEM_COND,,,enfurecido,,
T7,T7__raiva__indignado,Meu amigo me fez sentir indignado.,raiva,Negativo,Controle_PSA,SEM_COND,,,indignado,,
T7,T7__nojo__enojado,Meu amigo me fez sentir enojado.,nojo,Negativo,Controle_PSA,SEM_COND,,,enojado,,
T7,T7__nojo__desgostoso,Meu amigo me fez sentir desgostoso.,nojo,Negativo,Controle_PSA,SEM_COND,,,desgostoso,,
T7,T7__nojo__repulsivo,Meu amigo me fez sentir repulsivo.,nojo,Negativo,Controle_PSA,SEM_COND,,,repulsivo,,
T7,T7__medo__assustado,Meu amigo me fez sentir assustado.,medo,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T7,T7__medo__alarmado,Meu amigo me fez sentir alarmado.,medo,Negativo,Controle_PSA,SEM_COND,,,alarmado,,
T7,T7__medo__apavorado,Meu amigo me fez sentir apavorado.,medo,Negativo,Controle_PSA,SEM_COND,,,apavorado,,
T7,T7__tristeza__melancólico,Meu amigo me fez sentir melancólico.,tristeza,Negativo,Controle_PSA,SEM_COND,,,melancólico,,
T7,T7__tristeza__desanimado,Meu amigo me fez sentir desanimado.,tristeza,Negativo,Controle_PSA,SEM_COND,,,desanimado,,
T7,T7__tristeza__abatido,Meu amigo me fez sentir abatido.,tristeza,Negativo,Controle_PSA,SEM_COND,,,abatido,,
T7,T7__surpresa_neg__chocado,Meu amigo me fez sentir chocado.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,chocado,,
T7,T7__surpresa_neg__assustado,Meu amigo me fez sentir assustado.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T7,T7__surpresa_neg__abalado,Meu amigo me fez sentir abalado.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,abalado,,
T7,T7__felicidade__eufórico,Meu amigo me fez sentir eufórico.,felicidade,Positivo,Controle_PSA,SEM_COND,,,eufórico,,
T7,T7__felicidade__encantado,Meu amigo me fez sentir encantado.,felicidade,Positivo,Controle_PSA,SEM_COND,,,encantado,,
T7,T7__felicidade__feliz,Meu amigo me fez sentir feliz.,felicidade,Positivo,Controle_PSA,SEM_COND,,,feliz,,
T7,T7__surpresa_pos__empolgado,Meu amigo me fez sentir empolgado.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,empolgado,,
T7,T7__surpresa_pos__extasiado,Meu amigo me fez sentir extasiado.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,extasiado,,
T7,T7__surpresa_pos__surpreso,Meu amigo me fez sentir surpreso.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,surpreso,,
T7,T7__neutro__neutro,Meu amigo me fez sentir neutro.,neutro,Neutro,Controle_PSA,SEM_COND,,,neutro,,
T7,T7__neutro__indiferente,Meu amigo me fez sentir indiferente.,neutro,Neutro,Controle_PSA,SEM_COND,,,indiferente,,
T7,T7__neutro__calmo,Meu amigo me fez sentir calmo.,neutro,Neutro,Controle_PSA,SEM_COND,,,calmo,,
T7,T7__neutro__tranquilo,Meu amigo me fez sentir tranquilo.,neutro,Neutro,Controle_PSA,SEM_COND,,,tranquilo,,
T7,T7__neutro__normal,Meu amigo me fez sentir normal.,neutro,Neutro,Controle_PSA,SEM_COND,,,normal,,
T8,T8__raiva__irritante,O jantar com meu irmão foi irritante.,raiva,Negativo,Controle_PSA,SEM_COND,,,,irritante,
T8,T8__raiva__revoltante,O jantar com meu irmão foi revoltante.,raiva,Negativo,Controle_PSA,SEM_COND,,,,revoltante,
T8,T8__raiva__ofensivo,O jantar com meu irmão foi ofensivo.,raiva,Negativo,Controle_PSA,SEM_COND,,,,ofensivo,
T8,T8__nojo__nauseante,O jantar com meu irmão foi nauseante.,nojo,Negativo,Controle_PSA,SEM_COND,,,,nauseante,
T8,T8__nojo__repugnante,O jantar com meu irmão foi repugnante.,nojo,Negativo,Controle_PSA,SEM_COND,,,,repugnante,
T8,T8__nojo__desagradável,O jantar com meu irmão foi desagradável.,nojo,Negativo,Controle_PSA,SEM_COND,,,,desagradável,
T8,T8__medo__assustador,O jantar com meu irmão foi assustador.,medo,Negativo,Controle_PSA,SEM_COND,,,,assustador,
T8,T8__medo__ameaçador,O jantar com meu irmão foi ameaçador.,medo,Negativo,Controle_PSA,SEM_COND,,,,ameaçador,
T8,T8__medo__terrível,O jantar com meu irmão foi terrível.,medo,Negativo,Controle_PSA,SEM_COND,,,,terrível,
T8,T8__tristeza__entristecedor,O jantar com meu irmão foi entristecedor.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,entristecedor,
T8,T8__tristeza__deprimente,O jantar com meu irmão foi deprimente.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,deprimente,
T8,T8__tristeza__angustiante,O jantar com meu irmão foi angustiante.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,angustiante,
T8,T8__surpresa_neg__chocante,O jantar com meu irmão foi chocante.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,chocante,
T8,T8__surpresa_neg__perturbador,O jantar com meu irmão foi perturbador.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,perturbador,
T8,T8__surpresa_neg__desconcertante,O jantar com meu irmão foi desconcertante.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,desconcertante,
T8,T8__felicidade__maravilhoso,O jantar com meu irmão foi maravilhoso.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,maravilhoso,
T8,T8__felicidade__agradável,O jantar com meu irmão foi agradável.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,agradável,
T8,T8__felicidade__incrível,O jantar com meu irmão foi incrível.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,incrível,
T8,T8__surpresa_pos__surpreendente,O jantar com meu irmão foi surpreendente.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,surpreendente,
T8,T8__surpresa_pos__empolgante,O jantar com meu irmão foi empolgante.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,empolgante,
T8,T8__surpresa_pos__incrível,O jantar com meu irmão foi incrível.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,incrível,
T8,T8__neutro__comum,O jantar com meu irmão foi comum.,neutro,Neutro,Controle_PSA,SEM_COND,,,,comum,
T8,T8__neutro__normal,O jantar com meu irmão foi normal.,neutro,Neutro,Controle_PSA,SEM_COND,,,,normal,
T8,T8__neutro__rotineiro,O jantar com meu irmão foi rotineiro.,neutro,Neutro,Controle_PSA,SEM_COND,,,,rotineiro,
T8,T8__neutro__esperado,O jantar com meu irmão foi esperado.,neutro,Neutro,Controle_PSA,SEM_COND,,,,esperado,
T8,T8__neutro__ok,O jantar com meu irmão foi ok.,neutro,Neutro,Controle_PSA,SEM_COND,,,,ok,
T9,T9__raiva__irritado,"Ele conversou sobre a criança, o que o deixou irritado.",raiva,Negativo,Controle_PSA,SEM_COND,,,irritado,,
T9,T9__raiva__enfurecido,"Ele conversou sobre a criança, o que o deixou enfurecido.",raiva,Negativo,Controle_PSA,SEM_COND,,,enfurecido,,
T9,T9__raiva__indignado,"Ele conversou sobre a criança, o que o deixou indignado.",raiva,Negativo,Controle_PSA,SEM_COND,,,indignado,,
T9,T9__nojo__enojado,"Ele conversou sobre a criança, o que o deixou enojado.",nojo,Negativo,Controle_PSA,SEM_COND,,,enojado,,
T9,T9__nojo__desgostoso,"Ele conversou sobre a criança, o que o deixou desgostoso.",nojo,Negativo,Controle_PSA,SEM_COND,,,desgostoso,,
T9,T9__nojo__repulsivo,"Ele conversou sobre a criança, o que o deixou repulsivo.",nojo,Negativo,Controle_PSA,SEM_COND,,,repulsivo,,
T9,T9__medo__assustado,"Ele conversou sobre a criança, o que o deixou assustado.",medo,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T9,T9__medo__alarmado,"Ele conversou sobre a criança, o que o deixou alarmado.",medo,Negativo,Controle_PSA,SEM_COND,,,alarmado,,
T9,T9__medo__apavorado,"Ele conversou sobre a criança, o que o deixou apavorado.",medo,Negativo,Controle_PSA,SEM_COND,,,apavorado,,
T9,T9__tristeza__melancólico,"Ele conversou sobre a criança, o que o deixou melancólico.",tristeza,Negativo,Controle_PSA,SEM_COND,,,melancólico,,
T9,T9__tristeza__desanimado,"Ele conversou sobre a criança, o que o deixou desanimado.",tristeza,Negativo,Controle_PSA,SEM_COND,,,desanimado,,
T9,T9__tristeza__abatido,"Ele conversou sobre a criança, o que o deixou abatido.",tristeza,Negativo,Controle_PSA,SEM_COND,,,abatido,,
T9,T9__surpresa_neg__chocado,"Ele conversou sobre a criança, o que o deixou chocado.",surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,chocado,,
T9,T9__surpresa_neg__assustado,"Ele conversou sobre a criança, o que o deixou assustado.",surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,assustado,,
T9,T9__surpresa_neg__abalado,"Ele conversou sobre a criança, o que o deixou abalado.",surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,abalado,,
T9,T9__felicidade__eufórico,"Ele conversou sobre a criança, o que o deixou eufórico.",felicidade,Positivo,Controle_PSA,SEM_COND,,,eufórico,,
T9,T9__felicidade__encantado,"Ele conversou sobre a criança, o que o deixou encantado.",felicidade,Positivo,Controle_PSA,SEM_COND,,,encantado,,
T9,T9__felicidade__feliz,"Ele conversou sobre a criança, o que o deixou feliz.",felicidade,Positivo,Controle_PSA,SEM_COND,,,feliz,,
T9,T9__surpresa_pos__empolgado,"Ele conversou sobre a criança, o que o deixou empolgado.",surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,empolgado,,
T9,T9__surpresa_pos__extasiado,"Ele conversou sobre a criança, o que o deixou extasiado.",surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,extasiado,,
T9,T9__surpresa_pos__surpreso,"Ele conversou sobre a criança, o que o deixou surpreso.",surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,surpreso,,
T9,T9__neutro__neutro,"Ele conversou sobre a criança, o que o deixou neutro.",neutro,Neutro,Controle_PSA,SEM_COND,,,neutro,,
T9,T9__neutro__indiferente,"Ele conversou sobre a criança, o que o deixou indiferente.",neutro,Neutro,Controle_PSA,SEM_COND,,,indiferente,,
T9,T9__neutro__calmo,"Ele conversou sobre a criança, o que o deixou calmo.",neutro,Neutro,Controle_PSA,SEM_COND,,,calmo,,
T9,T9__neutro__tranquilo,"Ele conversou sobre a criança, o que o deixou tranquilo.",neutro,Neutro,Controle_PSA,SEM_COND,,,tranquilo,,
T9,T9__neutro__normal,"Ele conversou sobre a criança, o que o deixou normal.",neutro,Neutro,Controle_PSA,SEM_COND,,,normal,,
T10,T10__raiva__irritante,A pessoa estava em uma situação irritante.,raiva,Negativo,Controle_PSA,SEM_COND,,,,irritante,
T10,T10__raiva__revoltante,A pessoa estava em uma situação revoltante.,raiva,Negativo,Controle_PSA,SEM_COND,,,,revoltante,
T10,T10__raiva__ofensivo,A pessoa estava em uma situação ofensivo.,raiva,Negativo,Controle_PSA,SEM_COND,,,,ofensivo,
T10,T10__nojo__nauseante,A pessoa estava em uma situação nauseante.,nojo,Negativo,Controle_PSA,SEM_COND,,,,nauseante,
T10,T10__nojo__repugnante,A pessoa estava em uma situação repugnante.,nojo,Negativo,Controle_PSA,SEM_COND,,,,repugnante,
T10,T10__nojo__desagradável,A pessoa estava em uma situação desagradável.,nojo,Negativo,Controle_PSA,SEM_COND,,,,desagradável,
T10,T10__medo__assustador,A pessoa estava em uma situação assustador.,medo,Negativo,Controle_PSA,SEM_COND,,,,assustador,
T10,T10__medo__ameaçador,A pessoa estava em uma situação ameaçador.,medo,Negativo,Controle_PSA,SEM_COND,,,,ameaçador,
T10,T10__medo__terrível,A pessoa estava em uma situação terrível.,medo,Negativo,Controle_PSA,SEM_COND,,,,terrível,
T10,T10__tristeza__entristecedor,A pessoa estava em uma situação entristecedor.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,entristecedor,
T10,T10__tristeza__deprimente,A pessoa estava em uma situação deprimente.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,deprimente,
T10,T10__tristeza__angustiante,A pessoa estava em uma situação angustiante.,tristeza,Negativo,Controle_PSA,SEM_COND,,,,angustiante,
T10,T10__surpresa_neg__chocante,A pessoa estava em uma situação chocante.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,chocante,
T10,T10__surpresa_neg__perturbador,A pessoa estava em uma situação perturbador.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,perturbador,
T10,T10__surpresa_neg__desconcertante,A pessoa estava em uma situação desconcertante.,surpresa_neg,Negativo,Controle_PSA,SEM_COND,,,,desconcertante,
T10,T10__felicidade__maravilhoso,A pessoa estava em uma situação maravilhoso.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,maravilhoso,
T10,T10__felicidade__agradável,A pessoa estava em uma situação agradável.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,agradável,
T10,T10__felicidade__incrível,A pessoa estava em uma situação incrível.,felicidade,Positivo,Controle_PSA,SEM_COND,,,,incrível,
T10,T10__surpresa_pos__surpreendente,A pessoa estava em uma situação surpreendente.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,surpreendente,
T10,T10__surpresa_pos__empolgante,A pessoa estava em uma situação empolgante.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,empolgante,
T10,T10__surpresa_pos__incrível,A pessoa estava em uma situação incrível.,surpresa_pos,Positivo,Controle_PSA,SEM_COND,,,,incrível,
T10,T10__neutro__comum,A pessoa estava em uma situação comum.,neutro,Neutro,Controle_PSA,SEM_COND,,,,comum,
T10,T10__neutro__normal,A pessoa estava em uma situação normal.,neutro,Neutro,Controle_PSA,SEM_COND,,,,normal,
T10,T10__neutro__rotineiro,A pessoa estava em uma situação rotineiro.,neutro,Neutro,Controle_PSA,SEM_COND,,,,rotineiro,
T10,T10__neutro__esperado,A pessoa estava em uma situação esperado.,neutro,Neutro,Controle_PSA,SEM_COND,,,,esperado,
T10,T10__neutro__ok,A pessoa estava em uma situação ok.,neutro,Neutro,Controle_PSA,SEM_COND,,,,ok,
