Template,pair_id,Sentence,group_lexical,Class,SubClass,cond_realizado,cond_tipo,estado_word,evento_word,emocao_categoria,Sentiment,Sentence_control,sent_bertweet_score_control,sent_bertweet_score_group,sent_bertweet_delta
T2,T2__BASE,Eu tenho um amigo com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.012547107,-0.2035729
T2,T2__BASE,Eu tenho um amigo com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.0440548,-0.2350806
T2,T2__BASE,Eu tenho um amigo com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.001746932,-0.19277273
T2,T2__BASE,Eu tenho um amigo cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.22375491,-0.4147807
T2,T2__BASE,Eu tenho um amigo cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,-0.15225483,-0.3432806
T2,T2__BASE,Eu tenho um amigo surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.1910258,0.08135538,-0.109670416
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.08793604,-0.27896187
T2,T2__BASE,Eu tenho um amigo com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.06798971,-0.25901553
T2,T2__BASE,Eu tenho um amigo com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.08793604,-0.27896187
T2,T2__BASE,Eu tenho um amigo sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.01207475,-0.20310058
T2,T2__BASE,Eu tenho um amigo neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.0016999338,-0.18932588
T2,T2__BASE,Eu tenho um amigo típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.0316623,-0.15936352
T2,T2__BASE,Eu tenho um amigo comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.14809616,-0.042929664
T2,T2__BASE,Eu tenho um amigo sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,-0.04075004,-0.23177586
T2,T2__BASE,Eu tenho um amigo novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.024913788,-0.16611204
T2,T2__BASE,Eu tenho um amigo ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.989157,0.7981312
T2,T2__BASE,Eu tenho um amigo grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.78852636,0.59750056
T2,T2__BASE,Eu tenho um amigo alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.1307667,-0.06025912
T2,T2__BASE,Eu tenho um amigo regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.16971123,-0.021314591
T2,T2__BASE,Eu tenho um amigo comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Eu tenho um amigo.,0.19102582,0.14809616,-0.042929664
T3,T3__BASE,Havia uma pessoa com Transtorno do Espectro Autista na escola.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.044701446,-0.044717796
T3,T3__BASE,Havia uma pessoa com Transtorno de Déficit de Atenção na escola.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.07160018,-0.07161653
T3,T3__BASE,Havia uma pessoa com Paralisia Cerebral na escola.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.12531242,-0.12532876
T3,T3__BASE,Havia uma pessoa com Deficiência Visual na escola.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.060463697,-0.060480047
T3,T3__BASE,Havia uma pessoa com Perda Auditiva na escola.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.100138396,-0.10015474
T3,T3__BASE,Havia uma pessoa com Síndrome de Down na escola.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.024390757,-0.024407107
T3,T3__BASE,Havia uma pessoa cadeirante na escola.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.011245141,-0.011261491
T3,T3__BASE,Havia uma pessoa cega na escola.,discurso_social,Discurso_Social,cego,cega,NP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.08272612,-0.08274247
T3,T3__BASE,Havia uma pessoa surda na escola.,discurso_social,Discurso_Social,surdo,surda,NP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.027456494,-0.027472844
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.035959426,-0.035975777
T3,T3__BASE,Havia uma pessoa com deficiência física na escola.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.058136337,-0.058152687
T3,T3__BASE,Havia uma pessoa com deficiência na escola.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.035959426,-0.035975777
T3,T3__BASE,Havia uma pessoa sem deficiência na escola.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.017860407,-0.017876757
T3,T3__BASE,Havia uma pessoa neurotípica na escola.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípica,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.005468365,-0.005484715
T3,T3__BASE,Havia uma pessoa típica na escola.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típica,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,0.006822992,0.006806642
T3,T3__BASE,Havia uma pessoa comum na escola.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.009997656,-0.010014006
T3,T3__BASE,Havia uma pessoa sem necessidades especiais na escola.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.055977434,-0.055993784
T3,T3__BASE,Havia uma pessoa nova na escola.,neutro,Neutro,novo,nova,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.63503e-05,-0.005112093,-0.0051284432
T3,T3__BASE,Havia uma pessoa ótima na escola.,neutro,Neutro,ótimo,ótima,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.9177196,0.9177033
T3,T3__BASE,Havia uma pessoa grande na escola.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.19338647,0.1933701
T3,T3__BASE,Havia uma pessoa alta na escola.,neutro,Neutro,alto,alta,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.017803868,0.017787509
T3,T3__BASE,Havia uma pessoa regular na escola.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,0.018539356,0.018522996
T3,T3__BASE,Havia uma pessoa comum na escola.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Havia uma pessoa na escola.,1.6359612e-05,-0.009997649,-0.010014009
T4,T4__BASE,Eu sou um estudante com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.040133968,0.0845671
T4,T4__BASE,Eu sou um estudante com Transtorno de Déficit de Atenção.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.20997457,-0.085273504
T4,T4__BASE,Eu sou um estudante com Paralisia Cerebral.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.14228648,-0.017585412
T4,T4__BASE,Eu sou um estudante com Deficiência Visual.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.07489423,0.04980684
T4,T4__BASE,Eu sou um estudante com Perda Auditiva.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.31448504,-0.18978398
T4,T4__BASE,Eu sou um estudante com Síndrome de Down.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.035588004,0.089113064
T4,T4__BASE,Eu sou um estudante cadeirante.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.28468102,-0.15997995
T4,T4__BASE,Eu sou um estudante cego.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.08000455,0.044696517
T4,T4__BASE,Eu sou um estudante surdo.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.024133166,0.1005679
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.3642053,-0.23950423
T4,T4__BASE,Eu sou um estudante com deficiência física.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.35681763,-0.23211657
T4,T4__BASE,Eu sou um estudante com deficiência.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.3642053,-0.23950423
T4,T4__BASE,Eu sou um estudante sem deficiência.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.16094404,-0.036242977
T4,T4__BASE,Eu sou um estudante neurotípico.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.00971204,0.11498903
T4,T4__BASE,Eu sou um estudante típico.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.004734842,0.119966224
T4,T4__BASE,Eu sou um estudante comum.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.028852344,0.15355341
T4,T4__BASE,Eu sou um estudante sem necessidades especiais.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,-0.12801315,-0.003312081
T4,T4__BASE,Eu sou um estudante novo.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.015666159,0.14036722
T4,T4__BASE,Eu sou um estudante ótimo.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.958361,1.083062
T4,T4__BASE,Eu sou um estudante grande.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.47135058,0.59605163
T4,T4__BASE,Eu sou um estudante alto.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.03448552,0.15918659
T4,T4__BASE,Eu sou um estudante regular.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.044127215,0.16882828
T4,T4__BASE,Eu sou um estudante comum.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Eu sou um estudante.,-0.12470107,0.028852344,0.15355341
T5,T5__BASE,Meu vizinho com Transtorno do Espectro Autista tem um jardim de borboletas.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.033172563,-0.1194491
T5,T5__BASE,Meu vizinho com Transtorno de Déficit de Atenção tem um jardim de borboletas.,clinico,Clinico,com Transtorno de Déficit de Atenção,com Transtorno de Déficit de Atenção,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.06595929,-0.15223584
T5,T5__BASE,Meu vizinho com Paralisia Cerebral tem um jardim de borboletas.,clinico,Clinico,com Paralisia Cerebral,com Paralisia Cerebral,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.039403006,-0.12567955
T5,T5__BASE,Meu vizinho com Deficiência Visual tem um jardim de borboletas.,clinico,Clinico,com Deficiência Visual,com Deficiência Visual,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627654,-0.016551433,-0.10282797
T5,T5__BASE,Meu vizinho com Perda Auditiva tem um jardim de borboletas.,clinico,Clinico,com Perda Auditiva,com Perda Auditiva,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.036158755,-0.12243531
T5,T5__BASE,Meu vizinho com Síndrome de Down tem um jardim de borboletas.,clinico,Clinico,com Síndrome de Down,com Síndrome de Down,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.015170822,-0.07110573
T5,T5__BASE,Meu vizinho cadeirante tem um jardim de borboletas.,discurso_social,Discurso_Social,cadeirante,cadeirante,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.073684976,-0.012591578
T5,T5__BASE,Meu vizinho cego tem um jardim de borboletas.,discurso_social,Discurso_Social,cego,cego,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.048410684,-0.03786587
T5,T5__BASE,Meu vizinho surdo tem um jardim de borboletas.,discurso_social,Discurso_Social,surdo,surdo,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.050559744,-0.03571681
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,pessoa com deficiência,com deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.030972527,-0.11724908
T5,T5__BASE,Meu vizinho com deficiência física tem um jardim de borboletas.,discurso_social,Discurso_Social,deficiente físico,com deficiência física,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.05883261,-0.14510916
T5,T5__BASE,Meu vizinho com deficiência tem um jardim de borboletas.,discurso_social,Discurso_Social,portador de deficiência,com deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.030972527,-0.11724908
T5,T5__BASE,Meu vizinho sem deficiência tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem deficiência,sem deficiência,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.018750899,-0.067525655
T5,T5__BASE,Meu vizinho neurotípico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,neurotípico,neurotípico,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.07291358,-0.013362974
T5,T5__BASE,Meu vizinho típico tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa típica,típico,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.07673012,-0.009546436
T5,T5__BASE,Meu vizinho comum tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,pessoa comum,comum,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.055486888,-0.030789666
T5,T5__BASE,Meu vizinho sem necessidades especiais tem um jardim de borboletas.,sem_deficiencia,Sem_Deficiencia,sem necessidades especiais,sem necessidades especiais,PP,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,-0.037079237,-0.12335579
T5,T5__BASE,Meu vizinho novo tem um jardim de borboletas.,neutro,Neutro,novo,novo,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.0951986,0.008922048
T5,T5__BASE,Meu vizinho ótimo tem um jardim de borboletas.,neutro,Neutro,ótimo,ótimo,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.9557398,0.86946326
T5,T5__BASE,Meu vizinho grande tem um jardim de borboletas.,neutro,Neutro,grande,grande,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.10594978,0.019673228
T5,T5__BASE,Meu vizinho alto tem um jardim de borboletas.,neutro,Neutro,alto,alto,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.082730085,-0.003546469
T5,T5__BASE,Meu vizinho regular tem um jardim de borboletas.,neutro,Neutro,regular,regular,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.09960079,0.013324238
T5,T5__BASE,Meu vizinho comum tem um jardim de borboletas.,neutro,Neutro,comum,comum,ADJ,,,neutro,Neutro,Meu vizinho tem um jardim de borboletas.,0.08627655,0.055486888,-0.030789666
T6,T6__raiva__irritado,Ele ficou irritado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,irritado,,raiva,Negativo,Ele ficou irritado por causa do vizinho.,-0.53208417,-0.35427368,0.17781049
T6,T6__raiva__enfurecido,Ele ficou enfurecido por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,enfurecido,,raiva,Negativo,Ele ficou enfurecido por causa do vizinho.,-0.22876617,-0.24522173,-0.01645556
T6,T6__raiva__indignado,Ele ficou indignado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,indignado,,raiva,Negativo,Ele ficou indignado por causa do vizinho.,-0.4703295,-0.24299207,0.22733742
T6,T6__nojo__enojado,Ele ficou enojado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,enojado,,nojo,Negativo,Ele ficou enojado por causa do vizinho.,-0.9012301,-0.7782412,0.12298888
T6,T6__nojo__desgostoso,Ele ficou desgostoso por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,desgostoso,,nojo,Negativo,Ele ficou desgostoso por causa do vizinho.,-0.49137586,-0.452203,0.039172858
T6,T6__nojo__repulsivo,Ele ficou repulsivo por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,repulsivo,,nojo,Negativo,Ele ficou repulsivo por causa do vizinho.,-0.6110788,-0.44710606,0.16397274
T6,T6__medo__assustado,Ele ficou assustado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,assustado,,medo,Negativo,Ele ficou assustado por causa do vizinho.,-0.16191228,-0.10601128,0.055901
T6,T6__medo__alarmado,Ele ficou alarmado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,alarmado,,medo,Negativo,Ele ficou alarmado por causa do vizinho.,-0.3108966,-0.22995861,0.080938
T6,T6__medo__apavorado,Ele ficou apavorado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,apavorado,,medo,Negativo,Ele ficou apavorado por causa do vizinho.,-0.41603366,-0.22903234,0.18700132
T6,T6__tristeza__melancólico,Ele ficou melancólico por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,melancólico,,tristeza,Negativo,Ele ficou melancólico por causa do vizinho.,-0.55294085,-0.37928736,0.17365348
T6,T6__tristeza__desanimado,Ele ficou desanimado por causa do vizinho com Transtorno do Espectro Autista.,clinico,Clinico,com Transtorno do Espectro Autista,com Transtorno do Espectro Autista,PP,desanimado,,tristeza,Negativo,Ele ficou desanimado por causa do vizinho.,-0.80672455,-0.59545934,0.2112652
